Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,???,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,27,143,4039,43.35,150,0,248382633902,255966572151
20000000,20000340,20000340,1472,26,147,252,12.53,150,0,129916979256,138030556690
50000000,50000664,50000664,1472,58,124,414,15.13,122,0,57952171527,67537189100
100000000,100000566,100000566,1472,108,207,499,101.46,139,0,34099110189,43914506739
200000000,200004482,199998482,1472,46,241,607,115.24,226,0,22128961426,32225156148
300000000,300010504,300003004,1472,105,306,661,105.88,293,0,17110793347,28287635395
400000000,400005297,399999297,1472,254,419,919,73.10,410,0,15124698439,26290479272
500000000,500007668,499995167,1472,581,725,896,63.06,724,0,13599443936,25070071717
600000000,600007463,600001462,1472,590,701,846,46.49,703,0,12233747678,24280320753
700000000,700002896,699995896,1472,622,720,872,37.95,718,0,11238046889,23810645528
800000000,800010053,800006053,1472,661,720,876,19.82,720,0,10001365025,23391660999
900000000,900010965,899997465,1472,742,774,849,10.34,774,0,8801335984,23068087080
1000000000,891161692,999992177,1472,8159,13821,15938,741.29,13820,0,7516887720,22985008342
