Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,???,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,73,131,273,20.47,129,0,298828102353,306934897794
20000000,20000342,20000342,1472,69,140,244,17.83,150,0,157087699769,165625945579
50000000,50000655,50000655,1472,66,132,527,34.26,135,0,71095055315,81047813867
100000000,100001094,100000594,1472,100,181,535,97.51,137,0,40783082718,52687920289
200000000,199996270,199999270,1472,48,369,848,218.27,308,0,23848830565,38671844853
300000000,300002278,300002278,1472,505,684,887,85.20,680,0,18225586037,33948919836
400000000,400009560,399999560,1472,552,699,925,71.38,696,0,15720365054,31543297062
500000000,500006287,499993787,1472,581,728,984,58.82,732,0,13823349288,30095039141
600000000,600006965,600000965,1472,641,748,912,46.37,746,0,12269083034,29145916727
700000000,700009918,699999418,1472,686,775,930,35.40,775,0,10875620618,28581165801
800000000,799743824,800007543,1472,731,796,893,20.83,796,0,8665163596,28071160315
900000000,832294921,899998577,1472,688,806,893,22.18,808,0,7943806994,27928308538
1000000000,800554042,999992527,1472,1139,1379,1478,35.51,1385,0,8538641763,28299992743
