Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,???,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,80,133,597,20.05,146,0,249015380357,255785859395
20000000,20000342,20000342,1472,26,143,623,18.17,147,0,131505525801,138208196591
50000000,50000678,50000678,1472,17,135,511,65.83,113,0,59164181495,67537882623
100000000,100000919,100000419,1472,65,159,515,93.73,112,0,35030187803,43911026765
200000000,200003268,199998268,1472,42,206,613,109.81,136,0,22357895586,32225065631
300000000,300003549,300003549,1472,82,260,567,113.84,249,0,16803019055,28292220297
400000000,400005349,399997347,1472,158,370,566,90.54,378,0,14258849897,26288010780
500000000,500019423,499996923,1472,253,463,964,90.27,457,0,13133848853,25067247623
600000000,599970933,600000930,1472,428,677,981,95.78,667,0,11716956055,24287430124
700000000,700010698,699996698,1472,630,769,896,38.92,768,0,10687269395,23817790398
800000000,800009034,800005034,1472,721,784,921,22.87,786,0,9598266768,23403682571
900000000,900010794,900001794,1472,737,791,954,13.19,794,0,8525688587,23070897964
1000000000,956834089,999992396,1472,1341,1377,1599,10.10,1379,0,8024854614,23031447382
