Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,???,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,18,144,599,20.15,151,0,298882970481,306942343779
20000000,20000340,20000340,1472,9,153,678,8.54,151,0,157133819212,165625002477
50000000,50000650,50000650,1472,27,138,745,15.91,137,0,71124626753,81047077628
100000000,100000737,100000237,1472,42,181,502,87.67,141,0,40868043560,52695213119
200000000,199997383,199998383,1472,107,375,870,216.00,326,0,23718428161,38667256371
300000000,299998878,300003378,1472,516,679,871,85.29,682,0,18136015334,33931986473
400000000,400004583,399996583,1472,548,706,1024,73.00,698,0,15651802181,31543916854
500000000,500007905,499995405,1472,582,722,990,58.80,724,0,13715468644,30103525767
600000000,600010175,600001175,1472,648,748,855,45.66,747,0,12121950133,29137803294
700000000,700005132,699994632,1472,671,779,1053,36.21,778,0,10825017673,28575373430
800000000,799856848,800004791,1472,739,790,1010,19.85,790,0,8889478602,28070795611
900000000,833300484,899994496,1472,672,808,963,22.27,810,0,8081647514,27927418895
1000000000,794739384,999991573,1472,1153,1373,1496,37.80,1378,0,8720078878,28188209161
