Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,???,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,65,132,298,21.45,139,0,248429876674,255793079172
20000000,20000343,20000343,1472,28,138,353,21.38,148,0,130571606364,138009634061
50000000,50000673,50000673,1472,66,127,438,13.64,135,0,58070434381,67533802274
100000000,100000724,100000724,1472,69,200,554,116.40,136,0,34023597634,43893316629
200000000,200002745,199998745,1472,31,236,512,115.00,216,0,21961710985,32223157742
300000000,300008898,300001398,1472,93,302,567,106.87,303,0,17135125620,28273818818
400000000,400007692,399999691,1472,198,397,892,65.18,397,0,14955397961,26286465311
500000000,500004668,499992168,1472,524,734,897,64.60,735,0,13627571900,25063197610
600000000,600003870,600000870,1472,599,718,863,48.02,720,0,12195380880,24286896546
700000000,700019072,699994572,1472,624,731,960,35.62,730,0,11075275304,23810780787
800000000,800006724,800006723,1472,667,727,920,22.29,728,0,9926850582,23393665578
900000000,900004088,900004088,1472,667,740,982,11.18,742,0,8814689744,23065576113
1000000000,958342969,999993880,1472,1290,1332,1414,8.43,1333,0,8103274709,23043373763
