Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,???,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,27,138,221,20.07,153,0,298135829563,306937880848
20000000,20000342,20000342,1472,22,147,1966,37.70,153,0,156672047375,165614104511
50000000,50000656,50000656,1472,37,127,404,14.73,126,0,69900768836,81038071736
100000000,100000218,100000218,1472,31,193,489,94.76,140,0,40491742354,52690962351
200000000,199997519,199998519,1472,98,386,855,204.21,371,0,23883281858,38668517891
300000000,300001447,300001447,1472,489,675,863,82.76,675,0,18821131740,33945284002
400000000,399995310,399999310,1472,532,690,1032,69.43,688,0,16176997686,31528087995
500000000,500008994,499991494,1472,595,721,873,56.88,723,0,14338688880,30098954168
600000000,600005514,599999514,1472,643,747,968,45.85,745,0,12634656262,29137354797
700000000,700013766,699992766,1472,693,769,883,32.77,768,0,11385660715,28578998486
800000000,799788625,800004447,1472,721,787,885,20.54,788,0,9524848374,28070232055
900000000,841092943,900002488,1472,641,805,883,20.78,809,0,8516790750,27928616834
1000000000,803742981,999991917,1472,1138,1381,1492,34.25,1387,0,9098400210,28182277666
