Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,???,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,74,144,4137,28.09,151,0,298721306113,306937927561
20000000,20000344,20000344,1472,9,132,835,20.83,136,0,156896730459,165625202185
50000000,50000664,50000664,1472,39,131,249,12.81,137,0,70559285909,81040742293
100000000,100000643,100000643,1472,89,199,573,106.01,150,0,41004071850,52696207720
200000000,199995464,199999464,1472,14,359,871,220.65,289,0,23719395030,38667418346
300000000,300001668,300001668,1472,511,680,1007,85.28,685,0,18240735271,33946750328
400000000,400000524,399998524,1472,548,705,893,72.37,699,0,15736371506,31538944884
500000000,500007481,499997481,1472,592,724,897,58.22,726,0,13827932561,30101077131
600000000,600012048,600000048,1472,627,745,978,45.72,744,0,12225131638,29141274263
700000000,700008514,700001514,1472,681,766,993,33.41,765,0,10871601791,28581997527
800000000,799839764,800003672,1472,741,797,896,21.40,796,0,9322128500,28070286573
900000000,838313583,899998704,1472,672,809,939,21.56,810,0,8165201138,27931033290
1000000000,806885770,999993291,1472,1060,1377,1564,34.16,1381,0,8649239117,28143133717
