Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,???,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,9,155,424,6.56,154,0,298325667450,306927657294
20000000,20000341,20000341,1472,19,153,1699,12.81,154,0,156578833545,165634168730
50000000,50000649,50000649,1472,23,142,433,16.28,141,0,70515233651,81048619316
100000000,100001011,100000511,1472,24,214,505,113.67,141,0,40161816673,52671375080
200000000,199995824,199999824,1472,72,373,847,212.72,343,0,23656018403,38669072955
300000000,300000243,300001743,1472,518,679,929,83.25,679,0,18732787832,33916873059
400000000,400006690,400000690,1472,558,702,870,70.20,705,0,16171101088,31534070562
500000000,500005942,499995942,1472,607,727,875,57.65,729,0,14273425074,30100668226
600000000,600006201,600003201,1472,653,751,1007,46.14,750,0,12642412851,29144294776
700000000,700004508,699997508,1472,694,762,871,32.00,763,0,11272122845,28573118599
800000000,799919925,800007902,1472,730,791,885,20.64,790,0,9630357794,28073679526
900000000,842432552,899999696,1472,664,807,904,20.35,810,0,8454646845,27927850117
1000000000,802652079,999992152,1472,1092,1381,1610,34.64,1386,0,9041764125,28176186798
